Truth,Fitted,OD,File Path,Judgement: Dimentional OD Score (Likelihood Score / Median Likelihood Score)
0,0,2.672,Nami Haven/Eyes On You Remix Compilation/01 Eyes On You (くるぶっこちゃん Remix).m4a,"less electronic:0.650(0.398/0.481), more House:0.385(0.202/0.103), more dance:0.363(0.365/0.292), more pop:0.251(0.131/0.043), more chillout:0.209(0.080/0.029), more ambient:0.187(0.098/0.055), less electronica:0.127(0.087/0.104), more female vocalists:0.098(0.065/0.028), less electro:0.067(0.064/0.088), more rnb:0.025(0.015/0.003), less experimental:0.024(0.013/0.024), more instrumental:0.024(0.029/0.027), less party:0.018(0.015/0.017), less rock:0.018(0.021/0.027), less indie:0.018(0.023/0.026), more chill:0.018(0.010/0.006), more soul:0.017(0.010/0.005), more beautiful:0.016(0.015/0.012), more sexy:0.014(0.008/0.005), less alternative:0.014(0.016/0.018), less 00s:0.011(0.013/0.013), more Mellow:0.010(0.007/0.004), more jazz:0.010(0.009/0.007), more 80s:0.009(0.009/0.006), more easy listening:0.008(0.004/0.003), more female vocalist:0.007(0.005/0.003), more funk:0.007(0.005/0.004), less 90s:0.007(0.006/0.009), less Progressive rock:0.006(0.007/0.008), less indie rock:0.005(0.004/0.007), more country:0.004(0.002/0.001), more guitar:0.004(0.003/0.002), less metal:0.003(0.002/0.004), less Hip-Hop:0.003(0.003/0.004), less alternative rock:0.003(0.003/0.004), more sad:0.003(0.003/0.002), more folk:0.003(0.004/0.004), less catchy:0.003(0.003/0.004), less punk:0.003(0.002/0.004), more acoustic:0.003(0.003/0.002), more male vocalists:0.003(0.004/0.004), less classic rock:0.003(0.002/0.003), less hard rock:0.002(0.001/0.003), less indie pop:0.002(0.003/0.003), more happy:0.002(0.002/0.001), more 70s:0.001(0.002/0.001), less heavy metal:0.001(0.001/0.002), less 60s:0.001(0.001/0.001), less blues:0.001(0.001/0.001), less oldies:0.001(0.001/0.001)"
0,0,1.722,Nami Haven/Eyes On You Remix Compilation/02 Eyes On You (MiraGevot Remix).m4a,"more dance:0.404(0.368/0.292), more electronic:0.353(0.519/0.481), more House:0.188(0.139/0.103), more electro:0.143(0.118/0.088), more pop:0.120(0.098/0.043), less electronica:0.084(0.098/0.104), more female vocalists:0.050(0.045/0.028), less rock:0.044(0.012/0.027), less ambient:0.036(0.055/0.055), more chillout:0.032(0.036/0.029), less experimental:0.032(0.012/0.024), less indie:0.022(0.016/0.026), less alternative:0.020(0.011/0.018), less instrumental:0.019(0.020/0.027), more 80s:0.015(0.011/0.006), less 00s:0.012(0.012/0.013), more party:0.011(0.017/0.017), more rnb:0.011(0.008/0.003), more sexy:0.010(0.007/0.005), less indie rock:0.009(0.003/0.007), less Progressive rock:0.009(0.006/0.008), more beautiful:0.009(0.012/0.012), less alternative rock:0.007(0.002/0.004), less 90s:0.006(0.008/0.009), less punk:0.006(0.001/0.004), less folk:0.005(0.002/0.004), less Hip-Hop:0.005(0.002/0.004), less jazz:0.005(0.005/0.007), less metal:0.005(0.002/0.004), less classic rock:0.005(0.002/0.003), less chill:0.004(0.006/0.006), less catchy:0.004(0.003/0.004), more Mellow:0.003(0.005/0.004), less soul:0.003(0.005/0.005), less funk:0.003(0.003/0.004), more male vocalists:0.003(0.004/0.004), less hard rock:0.003(0.001/0.003), less indie pop:0.003(0.002/0.003), more female vocalist:0.003(0.003/0.003), less acoustic:0.002(0.001/0.002), less guitar:0.002(0.001/0.002), less easy listening:0.002(0.002/0.003), less happy:0.002(0.001/0.001), less heavy metal:0.002(0.001/0.002), less sad:0.001(0.002/0.002), less 70s:0.001(0.001/0.001), less 60s:0.001(0.000/0.001), less blues:0.001(0.001/0.001), less oldies:0.001(0.000/0.001), less country:0.001(0.001/0.001)"
0,0,1.358,Nami Haven/Eyes On You Remix Compilation/03 Eyes On You (cnsouka Remix).m4a,"more electronic:0.430(0.537/0.481), more electro:0.267(0.158/0.088), less dance:0.192(0.285/0.292), more electronica:0.078(0.112/0.104), less House:0.069(0.085/0.103), less ambient:0.037(0.050/0.055), less pop:0.028(0.043/0.043), less female vocalists:0.025(0.022/0.028), less chillout:0.019(0.027/0.029), less rock:0.018(0.025/0.027), less instrumental:0.018(0.026/0.027), less indie:0.017(0.026/0.026), more alternative:0.017(0.019/0.018), less experimental:0.016(0.021/0.024), less party:0.013(0.016/0.017), more 00s:0.011(0.014/0.013), less beautiful:0.008(0.011/0.012), less 90s:0.006(0.009/0.009), more punk:0.006(0.005/0.004), less Progressive rock:0.006(0.008/0.008), more 80s:0.005(0.007/0.006), less indie rock:0.005(0.006/0.007), less jazz:0.004(0.006/0.007), more chill:0.004(0.006/0.006), more funk:0.004(0.004/0.004), less soul:0.004(0.003/0.005), less sexy:0.003(0.004/0.005), more alternative rock:0.003(0.005/0.004), more acoustic:0.003(0.004/0.002), less Mellow:0.003(0.004/0.004), less Hip-Hop:0.003(0.004/0.004), more catchy:0.003(0.004/0.004), less metal:0.003(0.004/0.004), less folk:0.003(0.004/0.004), more indie pop:0.003(0.004/0.003), less easy listening:0.003(0.002/0.003), less male vocalists:0.002(0.003/0.004), more country:0.002(0.002/0.001), less female vocalist:0.002(0.002/0.003), less classic rock:0.002(0.003/0.003), more guitar:0.002(0.003/0.002), less rnb:0.002(0.003/0.003), less hard rock:0.002(0.002/0.003), more happy:0.001(0.002/0.001), less sad:0.001(0.002/0.002), less heavy metal:0.001(0.001/0.002), more 70s:0.001(0.001/0.001), less 60s:0.001(0.001/0.001), less blues:0.001(0.001/0.001), less oldies:0.001(0.001/0.001)"
0,0,2.758,Nami Haven/Eyes On You Remix Compilation/04 Eyes On You (Joulez_s _From the S.m4a,"more dance:1.151(0.524/0.292), less electronic:0.478(0.435/0.481), more House:0.333(0.198/0.103), more pop:0.143(0.106/0.043), less electronica:0.140(0.083/0.104), less electro:0.058(0.088/0.088), more female vocalists:0.056(0.046/0.028), more rnb:0.052(0.020/0.003), less ambient:0.042(0.040/0.055), less experimental:0.040(0.010/0.024), more chillout:0.028(0.034/0.029), less instrumental:0.025(0.016/0.027), less rock:0.020(0.019/0.027), less 00s:0.020(0.011/0.013), less indie:0.019(0.018/0.026), less alternative:0.014(0.013/0.018), more party:0.013(0.019/0.017), more country:0.013(0.006/0.001), more soul:0.008(0.007/0.005), less beautiful:0.008(0.010/0.012), less Progressive rock:0.007(0.007/0.008), less 90s:0.007(0.007/0.009), less jazz:0.006(0.004/0.007), more sexy:0.006(0.006/0.005), less indie rock:0.006(0.004/0.007), less 80s:0.005(0.005/0.006), less punk:0.005(0.001/0.004), less Hip-Hop:0.004(0.003/0.004), less chill:0.004(0.006/0.006), less alternative rock:0.004(0.003/0.004), less metal:0.004(0.002/0.004), less Mellow:0.004(0.004/0.004), less folk:0.004(0.002/0.004), less classic rock:0.003(0.002/0.003), more funk:0.003(0.004/0.004), less guitar:0.003(0.001/0.002), less catchy:0.003(0.004/0.004), less male vocalists:0.002(0.003/0.004), less indie pop:0.002(0.003/0.003), less female vocalist:0.002(0.003/0.003), less hard rock:0.002(0.001/0.003), less easy listening:0.002(0.002/0.003), less acoustic:0.002(0.002/0.002), less heavy metal:0.001(0.001/0.002), less sad:0.001(0.001/0.002), less 70s:0.001(0.001/0.001), less 60s:0.001(0.000/0.001), less happy:0.001(0.001/0.001), less oldies:0.001(0.001/0.001), less blues:0.001(0.001/0.001)"
0,0,1.798,Nami Haven/Eyes On You Remix Compilation/05 Eyes On You (rmk Remix).m4a,"more electronic:0.337(0.505/0.481), more ambient:0.252(0.115/0.055), less dance:0.221(0.231/0.292), more electronica:0.151(0.133/0.104), more House:0.137(0.125/0.103), more chillout:0.125(0.066/0.029), more electro:0.094(0.105/0.088), more pop:0.052(0.058/0.043), more experimental:0.043(0.035/0.024), more female vocalists:0.040(0.041/0.028), more instrumental:0.033(0.034/0.027), more chill:0.030(0.012/0.006), more indie:0.027(0.030/0.026), more rock:0.027(0.030/0.027), more alternative:0.025(0.023/0.018), less party:0.020(0.014/0.017), more Progressive rock:0.016(0.012/0.008), more beautiful:0.014(0.014/0.012), more sexy:0.012(0.008/0.005), more 00s:0.012(0.015/0.013), more Hip-Hop:0.011(0.008/0.004), more rnb:0.010(0.008/0.003), more Mellow:0.008(0.006/0.004), more funk:0.008(0.005/0.004), more 90s:0.008(0.009/0.009), more soul:0.006(0.006/0.005), more metal:0.005(0.005/0.004), more jazz:0.005(0.007/0.007), less 80s:0.005(0.005/0.006), more classic rock:0.005(0.005/0.003), more male vocalists:0.005(0.004/0.004), less indie rock:0.005(0.007/0.007), more acoustic:0.004(0.004/0.002), more easy listening:0.004(0.003/0.003), more alternative rock:0.004(0.005/0.004), more folk:0.004(0.005/0.004), more indie pop:0.004(0.004/0.003), more country:0.003(0.002/0.001), more catchy:0.003(0.004/0.004), more female vocalist:0.003(0.004/0.003), more hard rock:0.003(0.003/0.003), less punk:0.002(0.003/0.004), more sad:0.002(0.002/0.002), more heavy metal:0.002(0.002/0.002), more 70s:0.002(0.002/0.001), more guitar:0.002(0.002/0.002), more happy:0.002(0.002/0.001), more 60s:0.001(0.001/0.001), less blues:0.001(0.001/0.001), more oldies:0.001(0.001/0.001)"
0,0,1.600,Nami Haven/Eyes On You Remix Compilation/06 Eyes On You (NceS Remix).m4a,"less electronic:0.390(0.460/0.481), less dance:0.234(0.217/0.292), more experimental:0.159(0.072/0.024), less House:0.088(0.049/0.103), more electronica:0.069(0.105/0.104), less electro:0.064(0.068/0.088), more instrumental:0.052(0.039/0.027), more metal:0.050(0.023/0.004), less ambient:0.044(0.039/0.055), more Hip-Hop:0.040(0.015/0.004), less pop:0.040(0.029/0.043), more rock:0.033(0.033/0.027), less indie:0.029(0.014/0.026), more Progressive rock:0.029(0.015/0.008), less party:0.025(0.014/0.017), less female vocalists:0.024(0.022/0.028), less chillout:0.023(0.022/0.029), more jazz:0.019(0.013/0.007), more hard rock:0.016(0.007/0.003), less 00s:0.016(0.011/0.013), more punk:0.015(0.008/0.004), less alternative:0.013(0.016/0.018), more heavy metal:0.012(0.006/0.002), more funk:0.012(0.006/0.004), less beautiful:0.012(0.008/0.012), more folk:0.010(0.008/0.004), more guitar:0.007(0.005/0.002), more 80s:0.006(0.007/0.006), less 90s:0.006(0.009/0.009), more classic rock:0.006(0.005/0.003), more alternative rock:0.005(0.005/0.004), less Mellow:0.005(0.003/0.004), less indie rock:0.005(0.005/0.007), less chill:0.005(0.005/0.006), more soul:0.004(0.006/0.005), less indie pop:0.004(0.002/0.003), more male vocalists:0.004(0.004/0.004), less sexy:0.003(0.005/0.005), less catchy:0.003(0.004/0.004), more rnb:0.003(0.004/0.003), more 60s:0.002(0.002/0.001), less sad:0.002(0.001/0.002), less female vocalist:0.002(0.003/0.003), more blues:0.002(0.002/0.001), less easy listening:0.002(0.002/0.003), less acoustic:0.002(0.002/0.002), less happy:0.001(0.001/0.001), less 70s:0.001(0.001/0.001), more oldies:0.001(0.001/0.001), less country:0.001(0.001/0.001)"
0,0,2.606,Nami Haven/Eyes On You Remix Compilation/07 Eyes on You (Tenyu Remix - Powere.m4a,"more electronic:0.992(0.602/0.481), more electro:0.770(0.234/0.088), less dance:0.269(0.193/0.292), more electronica:0.115(0.124/0.104), more House:0.090(0.111/0.103), less ambient:0.037(0.052/0.055), less female vocalists:0.036(0.019/0.028), less pop:0.034(0.033/0.043), more experimental:0.026(0.029/0.024), less chillout:0.022(0.024/0.029), less indie:0.019(0.022/0.026), less rock:0.018(0.023/0.027), less instrumental:0.018(0.027/0.027), less alternative:0.012(0.017/0.018), more party:0.011(0.017/0.017), less 90s:0.010(0.005/0.009), more Progressive rock:0.010(0.010/0.008), more metal:0.009(0.007/0.004), less beautiful:0.009(0.010/0.012), less 00s:0.009(0.013/0.013), less jazz:0.007(0.004/0.007), less indie rock:0.005(0.005/0.007), more sexy:0.005(0.006/0.005), less chill:0.004(0.005/0.006), more catchy:0.004(0.004/0.004), less 80s:0.004(0.006/0.006), less easy listening:0.004(0.001/0.003), less soul:0.004(0.002/0.005), more hard rock:0.004(0.003/0.003), less Mellow:0.003(0.004/0.004), more classic rock:0.003(0.004/0.003), less folk:0.003(0.003/0.004), more heavy metal:0.003(0.002/0.002), less male vocalists:0.003(0.002/0.004), less punk:0.003(0.002/0.004), less Hip-Hop:0.003(0.004/0.004), less acoustic:0.003(0.001/0.002), less alternative rock:0.003(0.003/0.004), less female vocalist:0.003(0.002/0.003), less funk:0.003(0.004/0.004), less indie pop:0.003(0.003/0.003), less rnb:0.002(0.003/0.003), less guitar:0.002(0.002/0.002), less sad:0.002(0.001/0.002), less happy:0.001(0.001/0.001), more 70s:0.001(0.002/0.001), less country:0.001(0.001/0.001), less blues:0.001(0.001/0.001), less 60s:0.001(0.001/0.001), less oldies:0.001(0.001/0.001)"
0,0,1.861,Nami Haven/Eyes On You Remix Compilation/08 Eyes On You (buvid with Project N.m4a,"more electronic:0.464(0.543/0.481), more dance:0.451(0.371/0.292), more electro:0.358(0.187/0.088), less electronica:0.068(0.104/0.104), less House:0.068(0.103/0.103), less ambient:0.051(0.027/0.055), less chillout:0.048(0.012/0.029), less female vocalists:0.031(0.020/0.028), less pop:0.028(0.039/0.043), less instrumental:0.027(0.016/0.027), more rock:0.024(0.030/0.027), more party:0.023(0.023/0.017), more 90s:0.022(0.015/0.009), less indie:0.017(0.026/0.026), less experimental:0.016(0.024/0.024), less beautiful:0.015(0.007/0.012), less alternative:0.012(0.018/0.018), more 80s:0.010(0.009/0.006), more 00s:0.010(0.014/0.013), less chill:0.010(0.003/0.006), less jazz:0.009(0.003/0.007), more metal:0.008(0.007/0.004), more catchy:0.007(0.005/0.004), more hard rock:0.006(0.004/0.003), less Progressive rock:0.006(0.007/0.008), less Mellow:0.006(0.003/0.004), more Hip-Hop:0.006(0.006/0.004), more indie rock:0.005(0.007/0.007), less soul:0.005(0.002/0.005), more punk:0.005(0.005/0.004), less sexy:0.004(0.004/0.005), less folk:0.004(0.002/0.004), less funk:0.004(0.003/0.004), less easy listening:0.003(0.001/0.003), less guitar:0.003(0.001/0.002), less female vocalist:0.003(0.002/0.003), more classic rock:0.003(0.004/0.003), less rnb:0.003(0.002/0.003), less alternative rock:0.003(0.004/0.004), more heavy metal:0.002(0.002/0.002), less male vocalists:0.002(0.003/0.004), less indie pop:0.002(0.003/0.003), less sad:0.002(0.001/0.002), less acoustic:0.002(0.002/0.002), less country:0.001(0.000/0.001), less blues:0.001(0.001/0.001), less happy:0.001(0.001/0.001), less 70s:0.001(0.001/0.001), less 60s:0.001(0.001/0.001), less oldies:0.001(0.001/0.001)"
0,0,2.141,Nami Haven/Void Ocean／Heavy Rain/01 Fuga Romantica ~Intro~.m4a,"more electronic:0.573(0.565/0.481), less dance:0.296(0.186/0.292), more electronica:0.177(0.134/0.104), more instrumental:0.131(0.060/0.027), more ambient:0.114(0.084/0.055), more electro:0.083(0.102/0.088), less House:0.082(0.053/0.103), more indie:0.079(0.047/0.026), more rock:0.062(0.041/0.027), more experimental:0.057(0.042/0.024), more chillout:0.054(0.044/0.029), more alternative:0.049(0.029/0.018), more Progressive rock:0.041(0.018/0.008), more beautiful:0.036(0.019/0.012), less pop:0.033(0.034/0.043), less party:0.032(0.011/0.017), more indie rock:0.019(0.012/0.007), less female vocalists:0.019(0.025/0.028), more 00s:0.016(0.016/0.013), more folk:0.015(0.010/0.004), more alternative rock:0.014(0.007/0.004), more Mellow:0.014(0.007/0.004), more jazz:0.013(0.010/0.007), more metal:0.013(0.008/0.004), more indie pop:0.011(0.008/0.003), more chill:0.011(0.009/0.006), more guitar:0.010(0.006/0.002), more hard rock:0.009(0.005/0.003), more classic rock:0.009(0.005/0.003), more acoustic:0.007(0.005/0.002), less 90s:0.006(0.009/0.009), more heavy metal:0.005(0.003/0.002), less 80s:0.004(0.006/0.006), more sad:0.004(0.003/0.002), less rnb:0.004(0.001/0.003), more male vocalists:0.004(0.004/0.004), less soul:0.004(0.002/0.005), less sexy:0.004(0.004/0.005), more Hip-Hop:0.003(0.005/0.004), more punk:0.003(0.004/0.004), less funk:0.003(0.003/0.004), less catchy:0.003(0.004/0.004), more easy listening:0.003(0.003/0.003), more 70s:0.002(0.002/0.001), more happy:0.002(0.002/0.001), less female vocalist:0.002(0.003/0.003), more 60s:0.001(0.001/0.001), more blues:0.001(0.001/0.001), more country:0.001(0.001/0.001), more oldies:0.001(0.001/0.001)"
0,0,1.939,Nami Haven/Void Ocean／Heavy Rain/02 Summer Wave.m4a,"less electronic:0.529(0.434/0.481), less dance:0.192(0.292/0.292), more pop:0.186(0.124/0.043), more House:0.157(0.129/0.103), less electronica:0.114(0.093/0.104), more chillout:0.097(0.058/0.029), more female vocalists:0.083(0.061/0.028), more ambient:0.073(0.073/0.055), less electro:0.058(0.088/0.088), more indie:0.055(0.041/0.026), more rnb:0.043(0.020/0.003), more alternative:0.041(0.027/0.018), more rock:0.037(0.034/0.027), more sexy:0.027(0.011/0.005), more beautiful:0.023(0.016/0.012), more experimental:0.020(0.025/0.024), less instrumental:0.018(0.024/0.027), more chill:0.015(0.010/0.006), less party:0.015(0.016/0.017), more 00s:0.013(0.015/0.013), more Mellow:0.012(0.007/0.004), more soul:0.012(0.008/0.005), more alternative rock:0.011(0.007/0.004), more indie rock:0.010(0.009/0.007), less 90s:0.009(0.005/0.009), more indie pop:0.008(0.007/0.003), more male vocalists:0.008(0.005/0.004), more Hip-Hop:0.008(0.006/0.004), more female vocalist:0.007(0.005/0.003), less Progressive rock:0.006(0.007/0.008), more metal:0.005(0.005/0.004), more 80s:0.005(0.007/0.006), less jazz:0.004(0.006/0.007), more catchy:0.004(0.004/0.004), more acoustic:0.004(0.004/0.002), more sad:0.004(0.003/0.002), more easy listening:0.004(0.003/0.003), less folk:0.003(0.004/0.004), less funk:0.003(0.004/0.004), less classic rock:0.002(0.003/0.003), less punk:0.002(0.003/0.004), more happy:0.002(0.002/0.001), less hard rock:0.002(0.003/0.003), less guitar:0.002(0.002/0.002), more country:0.001(0.001/0.001), less 70s:0.001(0.001/0.001), less heavy metal:0.001(0.002/0.002), more blues:0.001(0.001/0.001), less 60s:0.001(0.001/0.001), less oldies:0.001(0.001/0.001)"
